Client,Warehouse,Product,2023-10-09,2023-10-16,2023-10-23,2023-10-30,2023-11-06,2023-11-13,2023-11-20,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-25,2024-01-01
0,1,367,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,639,5.0,4.0,3.0,4.0,2.0,6.0,3.0,4.0,1.0,2.0,4.0,5.0,3.0
0,1,655,6.0,4.0,2.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,4.0
0,1,1149,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0
0,1,1485,0.0,6.0,42.0,4.0,4.0,1.0,1.0,4.0,24.0,4.0,1.0,3.0,0.0
0,1,1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1969,4.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
0,1,3179,4.0,2.0,6.0,0.0,2.0,1.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0
0,1,3234,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
0,1,3463,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0,1,3515,0.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0
0,1,4337,5.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0
0,1,4431,5.0,7.0,6.0,4.0,12.0,10.0,4.0,8.0,8.0,6.0,2.0,12.0,11.0
0,1,5317,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
0,1,5604,17.0,28.0,17.0,17.0,15.0,24.0,14.0,19.0,13.0,47.0,20.0,7.0,23.0
0,1,5619,2.0,6.0,0.0,8.0,2.0,2.0,3.0,8.0,4.0,17.0,1.0,0.0,5.0
0,1,5657,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0
0,1,5871,9.0,2.0,3.0,0.0,6.0,4.0,13.0,5.0,5.0,3.0,0.0,10.0,0.0
0,1,6341,2.0,0.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,6.0,2.0,2.0
0,1,6898,2.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,1,7022,0.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0
0,1,7186,3.0,4.0,4.0,5.0,8.0,4.0,1.0,1.0,5.0,5.0,2.0,3.0,7.0
0,1,7457,0.0,3.0,0.0,1.0,8.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0
0,1,7469,1.0,6.0,16.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0,1,7661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,7984,1.0,0.0,1.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
0,1,8011,20.0,34.0,21.0,18.0,17.0,17.0,33.0,27.0,9.0,25.0,15.0,22.0,23.0
0,1,8157,1.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0
0,1,8264,7.0,2.0,2.0,5.0,3.0,2.0,7.0,3.0,6.0,4.0,3.0,1.0,5.0
0,1,8468,5.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,8587,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
0,1,8869,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,10705,0.0,1.0,4.0,2.0,0.0,5.0,3.0,3.0,3.0,1.0,1.0,0.0,5.0
0,1,11000,0.0,26.0,9.0,11.0,10.0,10.0,4.0,27.0,5.0,20.0,10.0,6.0,15.0
0,1,11015,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
0,1,11526,0.0,3.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
0,1,11552,11.0,9.0,7.0,1.0,4.0,7.0,7.0,9.0,16.0,13.0,5.0,6.0,3.0
0,1,11983,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,2.0
0,1,12171,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,1,12298,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
